# Packages matching: installed
# Name                   # Installed # Synopsis
asak                     0.2         Partitioning OCaml codes
rresult                  0.6.0       Result value combinators for OCaml
seq                      0.2.2       Compatibility package for OCaml's standard iterator type starting from 4.07
sexplib                  v0.11.0     Library for serializing OCaml values to and from S-expressions
sexplib0                 v0.11.0     Library containing the definition of S-expressions and some base converters
spawn                    v0.13.0     Spawning sub-processes
splittable_random        v0.11.0     PRNG that can be split into independent streams
ssl                      0.5.5       Bindings for OpenSSL
stdio                    v0.11.0     Standard IO library for OCaml
stdlib-shims             0.1.0       Backport some of the new stdlib features to older compiler
stringext                1.6.0       Extra string functions for OCaml
topkg                    1.0.1       The transitory OCaml software packager
typerep                  v0.11.0     typerep is a library for runtime types.
tyxml                    4.4.0       TyXML is a library for building correct HTML and SVG documents
uchar                    0.0.2       Compatibility library for OCaml's Uchar module
uri                      1.9.7       An RFC3986 URI/URL parsing library
uutf                     1.0.2       Non-blocking streaming Unicode codec for OCaml
variantslib              v0.11.0     Part of Jane Street's Core library
yojson                   1.7.0       Yojson is an optimized parsing and printing library for the JSON format
